date,datatype,station,value,city
1992-03-01,PRCP,GHCND:BR002748004,319.7,"Florianopolis, BR"
1992-03-01,PRCP,GHCND:BR002748005,240.7,"Florianopolis, BR"
1992-03-01,PRCP,GHCND:BR002748016,240.0,"Florianopolis, BR"
1992-03-01,PRCP,GHCND:BR002748023,159.7,"Florianopolis, BR"
1992-04-01,PRCP,GHCND:BR001555001,238.6,"Cuiaba, BR"
1992-04-01,PRCP,GHCND:BR001556000,225.9,"Cuiaba, BR"
1992-04-01,PRCP,GHCND:BR002548000,61.6,"Curitiba, BR"
1992-04-01,PRCP,GHCND:BR002548001,29.0,"Curitiba, BR"
1992-04-01,PRCP,GHCND:BR002548038,41.9,"Curitiba, BR"
1992-04-01,PRCP,GHCND:BR002549004,19.0,"Curitiba, BR"
1992-04-01,PRCP,GHCND:BR002549017,22.2,"Curitiba, BR"
1992-04-01,PRCP,GHCND:BR002549041,21.4,"Curitiba, BR"
1992-04-01,PRCP,GHCND:BR002549075,17.3,"Curitiba, BR"
1992-04-01,PRCP,GHCND:BR002549077,24.1,"Curitiba, BR"
1992-04-01,PRCP,GHCND:BR002549078,10.7,"Curitiba, BR"
1992-04-01,PRCP,GHCND:BR002549080,22.5,"Curitiba, BR"
1992-04-01,PRCP,GHCND:BR002549081,34.5,"Curitiba, BR"
1992-04-01,PRCP,GHCND:BR002748004,27.7,"Florianopolis, BR"
1992-04-01,PRCP,GHCND:BR002748005,16.4,"Florianopolis, BR"
1992-04-01,PRCP,GHCND:BR002748016,32.7,"Florianopolis, BR"
1992-04-01,PRCP,GHCND:BR002748023,48.0,"Florianopolis, BR"
1992-05-01,PRCP,GHCND:BR001555001,13.8,"Cuiaba, BR"
1992-05-01,PRCP,GHCND:BR001556000,23.7,"Cuiaba, BR"
1992-05-01,PRCP,GHCND:BR002548000,328.5,"Curitiba, BR"
1992-05-01,PRCP,GHCND:BR002548001,244.9,"Curitiba, BR"
1992-05-01,PRCP,GHCND:BR002548038,244.8,"Curitiba, BR"
1992-05-01,PRCP,GHCND:BR002549004,240.6,"Curitiba, BR"
1992-05-01,PRCP,GHCND:BR002549017,268.6,"Curitiba, BR"
1992-05-01,PRCP,GHCND:BR002549041,255.2,"Curitiba, BR"
1992-05-01,PRCP,GHCND:BR002549075,292.2,"Curitiba, BR"
1992-05-01,PRCP,GHCND:BR002549077,316.9,"Curitiba, BR"
1992-05-01,PRCP,GHCND:BR002549078,377.6,"Curitiba, BR"
1992-05-01,PRCP,GHCND:BR002549080,301.7,"Curitiba, BR"
1992-05-01,PRCP,GHCND:BR002549081,319.3,"Curitiba, BR"
1992-05-01,PRCP,GHCND:BR002549082,284.3,"Curitiba, BR"
1992-05-01,PRCP,GHCND:BR002748004,232.6,"Florianopolis, BR"
1992-05-01,PRCP,GHCND:BR002748005,232.5,"Florianopolis, BR"
1992-05-01,PRCP,GHCND:BR002748016,254.0,"Florianopolis, BR"
1992-05-01,PRCP,GHCND:BR002748023,181.0,"Florianopolis, BR"
1992-06-01,PRCP,GHCND:BR001555001,0.6,"Cuiaba, BR"
1992-06-01,PRCP,GHCND:BR001556000,0.0,"Cuiaba, BR"
1992-06-01,PRCP,GHCND:BR002548000,57.4,"Curitiba, BR"
1992-06-01,PRCP,GHCND:BR002548001,16.6,"Curitiba, BR"
1992-06-01,PRCP,GHCND:BR002548038,57.3,"Curitiba, BR"
1992-06-01,PRCP,GHCND:BR002549004,23.2,"Curitiba, BR"
1992-06-01,PRCP,GHCND:BR002549017,48.6,"Curitiba, BR"
1992-06-01,PRCP,GHCND:BR002549041,21.1,"Curitiba, BR"
1992-06-01,PRCP,GHCND:BR002549075,26.0,"Curitiba, BR"
1992-06-01,PRCP,GHCND:BR002549077,26.0,"Curitiba, BR"
